hotspot_id,latitude_center,longitude_center,total_violations,junction_name,police_station,dominant_vehicle_type,dominant_violation_type,dominant_offence_code
H115,12.992411264179106,77.65256316019901,201,Unmapped Location,Banaswadi,CAR,PARKING IN A MAIN ROAD | WRONG PARKING,107 | 112
H166,13.047537657788945,77.54556866934674,199,Unmapped Location,Jalahalli,CAR,WRONG PARKING | NO PARKING | PARKING IN A MAIN ROAD,112 | 113 | 107
H169,13.050943042131978,77.5526950218274,197,Unmapped Location,Jalahalli,SCOOTER,NO PARKING,113
H76,12.94104553617986,77.74737138521732,185,Unmapped Location,Whitefield,CAR,WRONG PARKING,112
H33,12.896648875882352,77.72005273058824,170,Unmapped Location,Whitefield,SCOOTER,WRONG PARKING,112
H86,12.951352218823528,77.60721419058824,170,BTP132 - Anepalya Junction,Ashok Nagar,CAR,NO PARKING,113
H165,13.047264864814814,77.62832221790123,162,Unmapped Location,Hennuru,SCOOTER,NO PARKING,113
H179,13.061418930860425,77.57574698119902,154,Unmapped Location,Kodigehalli,CAR,WRONG PARKING,112
H126,13.003463336486487,77.72349642094595,148,Unmapped Location,K.R. Pura,SCOOTER,PARKING IN A MAIN ROAD | WRONG PARKING,107 | 112
H29,12.897693952062015,77.65870928174097,143,Unmapped Location,Bellandur,SCOOTER,WRONG PARKING,112
H44,12.912926747547855,77.4820446337977,139,Unmapped Location,Kengeri,CAR,NO PARKING,113
H199,13.14337736289855,77.61783308094203,138,Unmapped Location,Chikkajala,MOTOR CYCLE,NO PARKING,113
H60,12.923330173466175,77.65111189900502,133,Unmapped Location,HSR Layout,CAR,NO PARKING,113
H8,12.855131576302032,77.66392578434504,120,Unmapped Location,Electronic City,SCOOTER,PARKING IN A MAIN ROAD | WRONG PARKING,107 | 112
H167,13.057325084166667,77.65016962833333,120,Unmapped Location,Hennuru,CAR,NO PARKING,113
H7,12.85093054137931,77.65745046896551,116,Unmapped Location,Electronic City,SCOOTER,WRONG PARKING,112
H191,13.084163171296295,77.63669918055555,108,Unmapped Location,Hennuru,MOTOR CYCLE,WRONG PARKING,112
